player,birthday,year,month,yrs
Luke Zeller,07/04/87,1987,april,1
Paul Gordon,08/04/27,1927,april,1
Tommie Green,08/04/56,1956,april,1
John Havlicek*,08/04/40,1940,april,16
Larry Mikan,08/04/48,1948,april,1
J.J. O'Brien,08/04/92,1992,april,1
Ralph O'Brien,08/04/28,1928,april,2
Cedi Osman,08/04/95,1995,april,3
Terry Porter,08/04/63,1963,april,17
Jared Reiner,08/04/82,1982,april,2
Dario Šarić,08/04/94,1994,april,4
Jimmy Walker,08/04/44,1944,april,9
Paul Arizin*,09/04/28,1928,april,10
Allen Crabbe,09/04/92,1992,april,7
Bruce Douglas,09/04/64,1964,april,1
Jemerrio Jones,09/04/95,1995,april,1
Ryan Kelly,09/04/91,1991,april,4
Bo Kimble,09/04/66,1966,april,3
Stan Love,09/04/49,1949,april,4
Tyler Lydon,09/04/96,1996,april,2
Kyle Macy,09/04/57,1957,april,7
John McConathy,09/04/30,1930,april,1
Roderick McDonald,09/04/45,1945,april,3
Jordan McLaughlin,09/04/96,1996,april,1
Jack Nichols,09/04/26,1926,april,9
Jimmy O'Brien,09/04/50,1950,april,4
Željko Rebrača,09/04/72,1972,april,5
Don Savage,09/04/28,1928,april,2
Jeff Turner,09/04/62,1962,april,10
Vlatko Čančar,10/04/97,1997,april,1
Chuck Connors,10/04/21,1921,april,2
Ivan Johnson,10/04/84,1984,april,2
Mark Jones,10/04/61,1961,april,1
Reggie Lacefield,10/04/45,1945,april,1
Nerlens Noel,10/04/94,1994,april,6
Kenny Satterfield,10/04/81,1981,april,2
Terry Teagle,10/04/60,1960,april,11
Juan Toscano-Anderson,10/04/93,1993,april,1
Royce White,10/04/91,1991,april,1
Luis Flores,11/04/81,1981,april,1
Tremaine Fowlkes,11/04/76,1976,april,4
Ben Kelso,11/04/49,1949,april,1
Andrew Levane,11/04/20,1920,april,3
Whitey Martin,11/04/39,1939,april,1
Med Park,11/04/33,1933,april,5
Micheal Ray Richardson,11/04/55,1955,april,8
Ramon Sessions,11/04/86,1986,april,11
Dennis Stewart,11/04/47,1947,april,1
Larry Sykes,11/04/73,1973,april,1
Larry Cannon,12/04/47,1947,april,4
Frank Gates,12/04/20,1920,april,1
Paul Hoffman,12/04/25,1925,april,6
Brad Miller,12/04/76,1976,april,14
Dave Scholz,12/04/48,1948,april,1
Jim Smith,12/04/58,1958,april,2
Steven Smith,12/04/83,1983,april,1
Tyshawn Taylor,12/04/90,1990,april,2
David Thirdkill,12/04/60,1960,april,5
Jim Barnes,13/04/41,1941,april,7
Dana Barros,13/04/67,1967,april,14
Isaiah Briscoe,13/04/96,1996,april,1
Corey Crowder,13/04/69,1969,april,2
Baron Davis,13/04/79,1979,april,13
Dick Farley,13/04/32,1932,april,3
Rollen Hans,13/04/31,1931,april,2
Darrun Hilliard,13/04/93,1993,april,3
Tony Kappen,13/04/19,1919,april,1
Aaron Miles,13/04/83,1983,april,1
Leo Mogus,13/04/21,1921,april,4
Dermie O'Connell,13/04/28,1928,april,2
Bo Outlaw,13/04/71,1971,april,15
Alec Peters,13/04/95,1995,april,1
Quentin Richardson,13/04/80,1980,april,13
Sedric Toney,13/04/62,1962,april,5
Nick Vanos,13/04/63,1963,april,2
Marvin Webster,13/04/52,1952,april,10
Tony Wroten,13/04/93,1993,april,4
Phil Zevenbergen,13/04/64,1964,april,1
Art Collins,14/04/54,1954,april,1
Ron Crevier,14/04/58,1958,april,1
Larry Friend,14/04/35,1935,april,1
Mark Macon,14/04/69,1969,april,6
Stan Stutz,14/04/20,1920,april,3
Nikoloz Tskitishvili,14/04/83,1983,april,4
Rodney Carney,15/04/84,1984,april,5
Michael Cooper,15/04/56,1956,april,12
Anthony Grundy,15/04/79,1979,april,1
Travis Hansen,15/04/78,1978,april,1
Walt Hazzard,15/04/42,1942,april,10
Raül López,15/04/80,1980,april,2
Sergei Monia,15/04/83,1983,april,1
David Pope,15/04/62,1962,april,2
Marlon Redmond,15/04/55,1955,april,2
Anthony Roberts,15/04/55,1955,april,5
Otto Schnellbacher,15/04/23,1923,april,1
Mike Smith,15/04/76,1976,april,1
Cliff Williams,15/04/45,1945,april,1
Kareem Abdul-Jabbar*,16/04/47,1947,april,20
Cedric Ball,16/04/68,1968,april,1
John Block,16/04/44,1944,april,10
Wendell Carter,16/04/99,1999,april,2
Keon Clark,16/04/75,1975,april,6
Luol Deng,16/04/85,1985,april,15
Boris Diaw,16/04/82,1982,april,14
Isaac Fontaine,16/04/75,1975,april,1
Dave Gambee,16/04/37,1937,april,12
Reggie Jackson,16/04/90,1990,april,9
Rodney Monroe,16/04/68,1968,april,1
Russ Schoene,16/04/60,1960,april,4
Robert Whaley,16/04/82,1982,april,1
Walt Williams,16/04/70,1970,april,11
Marques Bolden,17/04/98,1998,april,1
Nicolas Claxton,17/04/99,1999,april,1
Andy Duncan,17/04/22,1922,april,3
Cleanthony Early,17/04/91,1991,april,2
Bato Govedarica,17/04/28,1928,april,1
Neil Johnson,17/04/43,1943,april,7
Leo Katkaveck,17/04/23,1923,april,2
Wayne Molis,17/04/43,1943,april,2
Juwan Morgan,17/04/97,1997,april,1
Geoff Petrie,17/04/48,1948,april,6
Kevin Porter,17/04/50,1950,april,10
Theo Ratliff,17/04/73,1973,april,16
Frank Russell,17/04/49,1949,april,1
Ed Searcy,17/04/52,1952,april,1
Daniel Sparks,17/04/45,1945,april,2
Horace Walker,17/04/37,1937,april,1
C.J. Watson,17/04/84,1984,april,10
Bojan Bogdanović,18/04/89,1989,april,6
Michael Bradley,18/04/79,1979,april,5
Tyrone Britt,18/04/44,1944,april,1
Sid Catlett,18/04/48,1948,april,1
Jim Creighton,18/04/50,1950,april,1
Jimmy Dawson,18/04/45,1945,april,1
Sundiata Gaines,18/04/86,1986,april,3
Taylor Griffin,18/04/86,1986,april,1
Gerald Madkins,18/04/69,1969,april,3
Eric McWilliams,18/04/50,1950,april,1
George Mearns,18/04/22,1922,april,2
Don Ohl,18/04/36,1936,april,10
Don Otten,18/04/21,1921,april,4
Ken Rohloff,18/04/39,1939,april,1
Scott Sims,18/04/55,1955,april,1
Awvee Storey,18/04/77,1977,april,3
Caleb Swanigan,18/04/97,1997,april,3
Luguentz Dort,19/04/99,1999,april,1
Keith Erickson,19/04/44,1944,april,12
Mike Evans,19/04/55,1955,april,9
Jack Foley,19/04/39,1939,april,1
Randolph Keys,19/04/66,1966,april,5
Dan McClintock,19/04/77,1977,april,1
Kelly Olynyk,19/04/91,1991,april,7
Scott Padgett,19/04/76,1976,april,8
Gabe Pruitt,19/04/86,1986,april,2
Eddie Robinson,19/04/76,1976,april,5
Wayne Robinson,19/04/58,1958,april,1
John Schweitz,19/04/60,1960,april,2
Russ Smith,19/04/91,1991,april,2
Ralph Drollinger,20/04/54,1954,april,1
Hank Finkel,20/04/42,1942,april,9
Danny Granger,20/04/83,1983,april,10
Allan Houston,20/04/71,1971,april,12
Ken Murray,20/04/28,1928,april,3
Lamond Murray,20/04/73,1973,april,11
Jarrett Allen,21/04/98,1998,april,3
Ricky Blanton,21/04/66,1966,april,1
Rich Dumas,21/04/44,1944,april,1
Gary Grant,21/04/65,1965,april,13
Glenn Hansen,21/04/52,1952,april,3
Tracy Jackson,21/04/59,1959,april,3
Chuck Mencel,21/04/33,1933,april,2
Dave Meyers,21/04/53,1953,april,4
Mark Olberding,21/04/56,1956,april,12
Gerald Paddio,21/04/65,1965,april,3
Rodney Stuckey,21/04/86,1986,april,10
Trooper Washington,21/04/44,1944,april,6
DeJuan Blair,22/04/89,1989,april,7
Bimbo Coles,22/04/68,1968,april,14
Dante Cunningham,22/04/87,1987,april,10
Red Davis,22/04/32,1932,april,1
Bill Garnett,22/04/60,1960,april,4
Harry Giles,22/04/98,1998,april,2
Spencer Haywood*,22/04/49,1949,april,13
Dennis Hopson,22/04/65,1965,april,5
Alize Johnson,22/04/96,1996,april,2
Shelvin Mack,22/04/90,1990,april,8
Bob McCann,22/04/64,1964,april,5
Darren Morningstar,22/04/69,1969,april,1
Marty Passaglia,22/04/19,1919,april,2
Duncan Robinson,22/04/94,1994,april,2
Charles Shackleford,22/04/66,1966,april,6
Phil Smith,22/04/52,1952,april,9
Donald Washington,22/04/52,1952,april,2
Peter Aluma,23/04/73,1973,april,1
John Bagley,23/04/60,1960,april,11
Carl Bailey,23/04/58,1958,april,1
Gail Goodrich*,23/04/43,1943,april,14
Mike Novak,23/04/15,1915,april,3
Ron Rowan,23/04/62,1962,april,1
Ernie Grunfeld,24/04/55,1955,april,9
Stan Kimbrough,24/04/66,1966,april,2
Dino Radja*,24/04/67,1967,april,4
Eric Snow,24/04/73,1973,april,13
Lance Thomas,24/04/88,1988,april,9
Jan Veselý,24/04/90,1990,april,3
Corey Williams,24/04/70,1970,april,2
Mark Bryant,25/04/65,1965,april,15
Derrick Byars,25/04/84,1984,april,1
Dave Corzine,25/04/56,1956,april,13
Tim Duncan*,25/04/76,1976,april,19
Khalid El-Amin,25/04/79,1979,april,1
Johnny High,25/04/57,1957,april,4
Johnny McCarthy,25/04/34,1934,april,6
Grady O'Malley,25/04/48,1948,april,1
Michael Stewart,25/04/75,1975,april,8
John Tschogl,25/04/50,1950,april,3
Donald Whiteside,25/04/69,1969,april,2
Bob Boozer,26/04/37,1937,april,11
Bert Cook,26/04/29,1929,april,1
Mark Davis,26/04/73,1973,april,5
Tellis Frank,26/04/65,1965,april,5
Harry Gallatin*,26/04/27,1927,april,10
Chandler Hutchison,26/04/96,1996,april,2
Butch Joyner,26/04/45,1945,april,1
Jim Marsh,26/04/46,1946,april,1
Ivan McFarlin,26/04/82,1982,april,1
Dick Miller,26/04/58,1958,april,1
Red Morrison,26/04/32,1932,april,3
Bill Smith,26/04/39,1939,april,1
Moritz Wagner,26/04/97,1997,april,2
Bill Wennington,26/04/63,1963,april,13
Delon Wright,26/04/92,1992,april,5
Courtney Alexander,27/04/77,1977,april,3
Al Beard,27/04/42,1942,april,1
Dexter Boney,27/04/70,1970,april,1
Mitch Creek,27/04/92,1992,april,1
George Gervin*,27/04/52,1952,april,14
Zendon Hamilton,27/04/75,1975,april,6
Daequan Cook,28/04/87,1987,april,6
Ed Earle,28/04/27,1927,april,1
LeRon Ellis,28/04/69,1969,april,3
John Fairchild,28/04/43,1943,april,4
John Greig,28/04/61,1961,april,1
Spencer Hawes,28/04/88,1988,april,10
Paul Hogue,28/04/40,1940,april,2
Josh Howard,28/04/80,1980,april,10
Chris Kaman,28/04/82,1982,april,13
Martin Lewis,28/04/75,1975,april,2
KZ Okpala,28/04/99,1999,april,1
Flynn Robinson,28/04/41,1941,april,8
James Southerland,28/04/90,1990,april,1
Hank Whitney,28/04/39,1939,april,3
Hank Williams,28/04/52,1952,april,1
Jeff Ayres,29/04/87,1987,april,6
Jake Ford,29/04/46,1946,april,2
Jason Hart,29/04/78,1978,april,9
Chris Johnson,29/04/90,1990,april,4
David Lee,29/04/83,1983,april,12
Xavier Rathan-Mayes,29/04/94,1994,april,1
God Shammgod,29/04/76,1976,april,1
Brandon Bass,30/04/85,1985,april,12
Marty Byrnes,30/04/56,1956,april,4
Ron Cavenall,30/04/59,1959,april,2
Bob Knight,30/04/29,1929,april,1
T.J. Leaf,30/04/97,1997,april,3
Brandon Paul,30/04/91,1991,april,1
Quinton Ross,30/04/81,1981,april,7
Luis Scola,30/04/80,1980,april,10
Paul Scranton,30/04/44,1944,april,1
Isiah Thomas*,30/04/61,1961,april,13
B.J. Tyler,30/04/71,1971,april,1
Rick Weitzman,30/04/46,1946,april,1
Frankie Brian,01/05/23,1923,may,7
Barry Clemens,01/05/43,1943,may,11
Austin Croshere,01/05/75,1975,may,12
Ron Davis,01/05/54,1954,may,3
Jerome Dyson,01/05/87,1987,may,1
Amir Johnson,01/05/87,1987,may,14
Eddie Johnson,01/05/59,1959,may,17
Rock Lee,01/05/55,1955,may,1
George Lehmann,01/05/42,1942,may,7
Julius Nwosu,01/05/71,1971,may,1
Barry Orms,01/05/46,1946,may,2
Billy Owens,01/05/69,1969,may,10
Jim Owens,01/05/50,1950,may,2
Brandon Sampson,01/05/97,1997,may,1
Craig Shelton,01/05/57,1957,may,2
Brian Cardinal,02/05/77,1977,may,12
Melvin Ely,02/05/78,1978,may,9
Paul George,02/05/90,1990,may,10
Roy Hinson,02/05/61,1961,may,8
John Morrison,02/05/45,1945,may,1
Troy Murphy,02/05/80,1980,may,12
Thabo Sefolosha,02/05/84,1984,may,14
Red Stroud,02/05/41,1941,may,1
Leonard Taylor,02/05/66,1966,may,1
Jim Ware,02/05/44,1944,may,3
Maalik Wayns,02/05/91,1991,may,2
Jamaal Wilkes*,02/05/53,1953,may,12
Nate Williams,02/05/50,1950,may,8
Jack Dwan,03/05/21,1921,may,1
Joe Ellis,03/05/44,1944,may,8
Gar Heard,03/05/48,1948,may,11
Jeff Hornacek,03/05/63,1963,may,14
Toby Knight,03/05/55,1955,may,4
Tyronn Lue,03/05/77,1977,may,11
Nat Militzok,03/05/23,1923,may,1
Kelvin Ransey,03/05/58,1958,may,6
Domantas Sabonis,03/05/96,1996,may,4
Jaylen Adams,04/05/96,1996,may,1
Butch Beard,04/05/47,1947,may,9
Derrick Caracter,04/05/88,1988,may,1
Dorian Finney-Smith,04/05/93,1993,may,4
Reggie Harding,04/05/42,1942,may,4
George Hill,04/05/86,1986,may,12
John Hummer,04/05/48,1948,may,6
Frank Jackson,04/05/98,1998,may,2
Johnathan Motley,04/05/95,1995,may,3
Victor Oladipo,04/05/92,1992,may,7
Kevin Porter,04/05/00,2000,may,1
Kyle Singler,04/05/88,1988,may,6
Bill Buntin,05/05/42,1942,may,1
LaPhonso Ellis,05/05/70,1970,may,11
Vítor Faverani,05/05/88,1988,may,1
Herm Gilliam,05/05/46,1946,may,8
Orlando Graham,05/05/65,1965,may,1
Isaiah Hartenstein,05/05/98,1998,may,2
DerMarr Johnson,05/05/80,1980,may,7
Roy McPipe,05/05/50,1950,may,1
Harold Miner,05/05/71,1971,may,4
Lowes Moore,05/05/57,1957,may,3
Stan Patrick,05/05/22,1922,may,1
Moe Radovich,05/05/29,1929,may,1
Mike Silliman,05/05/44,1944,may,1
Larry Steele,05/05/49,1949,may,9
P.J. Tucker,05/05/85,1985,may,9
Rob Williams,05/05/61,1961,may,2
Tom Abernethy,06/05/54,1954,may,5
Alexis Ajinça,06/05/88,1988,may,7
Ryan Anderson,06/05/88,1988,may,12
Sam Dekker,06/05/94,1994,may,4
Damyean Dotson,06/05/94,1994,may,3
Goran Dragić,06/05/86,1986,may,12
Aaron Jackson,06/05/86,1986,may,1
Myron Jackson,06/05/64,1964,may,1
Oliver Lafayette,06/05/84,1984,may,1
Chris Paul,06/05/85,1985,may,15
Al Salvadori,06/05/45,1945,may,1
Jonas Valančiūnas,06/05/92,1992,may,8
Ratko Varda,06/05/79,1979,may,1
Leroy Wright,06/05/38,1938,may,2
Calvin Booth,07/05/76,1976,may,10
Tony Campbell,07/05/62,1962,may,11
Jerry Harkness,07/05/40,1940,may,3
Amile Jefferson,07/05/93,1993,may,2
Tyler Johnson,07/05/92,1992,may,6
Yaroslav Korolev,07/05/87,1987,may,2
Renaldo Major,07/05/82,1982,may,1
Shawn Marion,07/05/78,1978,may,16
Marko Milič,07/05/77,1977,may,2
Louis Orr,07/05/58,1958,may,8
Ben Poquette,07/05/55,1955,may,10
Mike Sanders,07/05/60,1960,may,11
Bob Weiss,07/05/42,1942,may,12
Eddie Lee Wilkins,07/05/62,1962,may,6
Mike Wilks,07/05/79,1979,may,7
Speedy Claxton,08/05/78,1978,may,7
Mike D'Antoni,08/05/51,1951,may,4
Keyon Dooling,08/05/80,1980,may,13
Dennis Hamilton,08/05/44,1944,may,4
Sasha Kaun,08/05/85,1985,may,1
Džanan Musa,08/05/99,1999,may,2
Pepe Sánchez,08/05/77,1977,may,2
Vladimir Stepania,08/05/76,1976,may,6
Garrett Temple,08/05/86,1986,may,10
Khyri Thomas,08/05/96,1996,may,2
Kemba Walker,08/05/90,1990,may,9
Lloyd Batts,09/05/51,1951,may,1
David Benoit,09/05/68,1968,may,7
Nemanja Bjelica,09/05/88,1988,may,5
Doug Christie,09/05/70,1970,may,15
Yogi Ferrell,09/05/93,1993,may,4
Erick Green,09/05/91,1991,may,2
Jake Jones,09/05/49,1949,may,1
Howard Komives,09/05/41,1941,may,10
Timothé Luwawu-Cabarrot,09/05/95,1995,may,4
Calvin Murphy*,09/05/48,1948,may,13
Chris Porter,09/05/78,1978,may,1
Elmore Smith,09/05/49,1949,may,8
Dragan Tarlać,09/05/73,1973,may,1
Marcus Webb,09/05/70,1970,may,1
George Wilson,09/05/42,1942,may,7
Don Bielke,10/05/32,1932,may,1
Wilson Chandler,10/05/87,1987,may,12
Ken Corley,10/05/20,1920,may,1
Samuel Dalembert,10/05/81,1981,may,13
Al Eberhard,10/05/52,1952,may,4
Rudy Hackett,10/05/53,1953,may,2
Tyus Jones,10/05/96,1996,may,5
Mike Maloy,10/05/49,1949,may,3
Barry Parkhill,10/05/51,1951,may,3
Danny Schayes,10/05/59,1959,may,18
Rony Seikaly,10/05/65,1965,may,11
Lamont Strothers,10/05/68,1968,may,2
Jerome Williams,10/05/73,1973,may,9
Greg Wittman,10/05/47,1947,may,2
Leo Barnhorst,11/05/24,1924,may,5
Price Brookfield,11/05/20,1920,may,2
Bob Christian,11/05/46,1946,may,5
Maurice Harkless,11/05/93,1993,may,8
Ollie Johnson,11/05/49,1949,may,10
Ken Mayfield,11/05/48,1948,may,1
Olumide Oyedeji,11/05/81,1981,may,3
Jack Twyman*,11/05/34,1934,may,11
Kim Anderson,12/05/55,1955,may,1
Mohamed Bamba,12/05/98,1998,may,2
Keith Bogans,12/05/80,1980,may,11
Andre Brown,12/05/81,1981,may,3
Kevin Grevey,12/05/53,1953,may,10
George Karl,12/05/51,1951,may,5
Mouhamed Sene,12/05/86,1986,may,3
Gene Tormohlen,12/05/37,1937,may,6
Roko Ukić,12/05/84,1984,may,2
Bob Williams,12/05/31,1931,may,2
Justin Williams,12/05/84,1984,may,2
Mike Bibby,13/05/78,1978,may,14
Chris Crawford,13/05/75,1975,may,7
Dave Deutsch,13/05/45,1945,may,1
Bill Gabor,13/05/22,1922,may,6
Tony Harris,13/05/67,1967,may,3
Trajan Langdon,13/05/76,1976,may,3
Dean Meminger,13/05/48,1948,may,6
Ben Moore,13/05/95,1995,may,1
Peter John Ramos,13/05/85,1985,may,1
Dennis Rodman*,13/05/61,1961,may,14
Jim Slaughter,13/05/28,1928,may,1
Chris Washburn,13/05/65,1965,may,2
Walter Berry,14/05/64,1964,may,3
Vern Gardner,14/05/25,1925,may,3
Eddie House,14/05/78,1978,may,11
Voshon Lenard,14/05/73,1973,may,11
Jon Leuer,14/05/89,1989,may,8
Mark Minor,14/05/50,1950,may,1
Pooh Richardson,14/05/66,1966,may,10
Uroš Slokar,14/05/83,1983,may,1
George Adams,15/05/49,1949,may,3
Gene Banks,15/05/59,1959,may,6
Torraye Braggs,15/05/76,1976,may,2
Greg Bunch,15/05/56,1956,may,1
John Clawson,15/05/44,1944,may,1
Joe Fabel,15/05/17,1917,may,1
Hiram Fuller,15/05/81,1981,may,1
Ersan İlyasova,15/05/87,1987,may,12
Antonio Lang,15/05/72,1972,may,6
Don Nelson*,15/05/40,1940,may,14
Jamal Sampson,15/05/83,1983,may,5
Keith Tower,15/05/70,1970,may,4
Virgil Vaughn,15/05/18,1918,may,1
Freeman Williams,15/05/56,1956,may,6
Nate Wolters,15/05/91,1991,may,3
Charles Bradley,16/05/59,1959,may,3
Terence Davis,16/05/97,1997,may,1
Quincy Douby,16/05/84,1984,may,3
Ed Gayda,16/05/27,1927,may,1
Essie Hollis,16/05/55,1955,may,1
Arnie Johnson,16/05/20,1920,may,5
Carl Kilpatrick,16/05/56,1956,may,1
Ognjen Kuzmić,16/05/90,1990,may,2
Willie Reed,16/05/90,1990,may,3
John Salley,16/05/64,1964,may,11
Jerome Beasley,17/05/80,1980,may,1
Winford Boynes,17/05/57,1957,may,3
Ernest Brown,17/05/79,1979,may,1
Hubert Davis,17/05/70,1970,may,12
Terrance Ferguson,17/05/98,1998,may,3
Channing Frye,17/05/83,1983,may,13
Patricio Garino,17/05/93,1993,may,1
Bill Herman,17/05/24,1924,may,1
Hal Jeter,17/05/45,1945,may,1
Pickles Kennedy,17/05/38,1938,may,1
Jon Koncak,17/05/63,1963,may,11
Danny Manning,17/05/66,1966,may,15
Todd Mundt,17/05/70,1970,may,1
Tony Parker,17/05/82,1982,may,18
Dave Popson,17/05/64,1964,may,3
Pablo Prigioni,17/05/77,1977,may,4
Chris Smith,17/05/70,1970,may,3
Chet Aubuchon,18/05/16,1916,may,1
Lawrence Boston,18/05/56,1956,may,1
Clint Capela,18/05/94,1994,may,6
Reggie Evans,18/05/80,1980,may,13
Noble Jorgensen,18/05/25,1925,may,5
Ralph Kaplowitz,18/05/19,1919,may,2
Donyell Marshall,18/05/73,1973,may,15
Ron Mercer,18/05/76,1976,may,8
John Morton,18/05/67,1967,may,3
Jerry Nagel,18/05/28,1928,may,1
Joe Roberts,18/05/36,1936,may,4
Jack Stephens,18/05/33,1933,may,1
Sam Vincent,18/05/63,1963,may,7
Mario Chalmers,19/05/86,1986,may,9
Richard Dumas,19/05/69,1969,may,3
Butch Feher,19/05/54,1954,may,1
Kevin Garnett*,19/05/76,1976,may,21
Hamed Haddadi,19/05/85,1985,may,5
Bill Laimbeer,19/05/57,1957,may,14
Raul Neto,19/05/92,1992,may,5
Dolph Schayes*,19/05/28,1928,may,15
Brian Skinner,19/05/76,1976,may,14
Michael Smith,19/05/65,1965,may,3
Jarrod Uthoff,19/05/93,1993,may,2
Ruben Boumtje-Boumtje,20/05/78,1978,may,3
Terrell Brandon,20/05/70,1970,may,11
Patrick Ewing,20/05/84,1984,may,1
Bud Grant,20/05/27,1927,may,2
Larry Hennessy,20/05/29,1929,may,2
Damien Inglis,20/05/95,1995,may,1
Enes Kanter,20/05/92,1992,may,9
Dick Mehen,20/05/22,1922,may,3
Jackie Robinson,20/05/55,1955,may,3
Trey Thompkins,20/05/90,1990,may,1
Ekpe Udoh,20/05/87,1987,may,7
Bill Willoughby,20/05/57,1957,may,8
Howard Wood,20/05/59,1959,may,1
Julian Wright,20/05/87,1987,may,4
James Bailey,21/05/57,1957,may,9
Dennis Boyd,21/05/54,1954,may,1
Žarko Čabarkapa,21/05/81,1981,may,3
Isaiah Canaan,21/05/91,1991,may,6
Leo Klier,21/05/23,1923,may,2
Mark Landsberger,21/05/55,1955,may,7
Jamaal Magloire,21/05/78,1978,may,12
Jim Neal,21/05/30,1930,may,2
Predrag Savović,21/05/76,1976,may,1
Foots Walker,21/05/51,1951,may,10
Ron Watts,21/05/43,1943,may,2
Randy Brown,22/05/68,1968,may,12
Roger Brown*,22/05/42,1942,may,8
Chase Budinger,22/05/88,1988,may,7
Roger Burkman,22/05/58,1958,may,1
Jared Cunningham,22/05/91,1991,may,4
Tyler Davis,22/05/97,1997,may,1
Mickaël Gelabale,22/05/83,1983,may,3
Chad Kinch,22/05/58,1958,may,1
Malcolm Lee,22/05/90,1990,may,3
Chuck Lloyd,22/05/47,1947,may,1
Rob Lock,22/05/66,1966,may,1
Lauri Markkanen,22/05/97,1997,may,3
Donald Royal,22/05/66,1966,may,8
Willie Scott,22/05/47,1947,may,1
Larry Siegfried,22/05/39,1939,may,9
Joe Smyth,22/05/29,1929,may,1
Gundars Vētra,22/05/67,1967,may,1
Johnathan Williams,22/05/95,1995,may,2
Rasual Butler,23/05/79,1979,may,13
Jack Coleman,23/05/24,1924,may,9
Courtney Fortson,23/05/88,1988,may,1
Kenny Gattison,23/05/64,1964,may,9
Jaxson Hayes,23/05/00,2000,may,1
Thomas Jordan,23/05/68,1968,may,1
Ken McBride,23/05/29,1929,may,1
Garland O'Shields,23/05/21,1921,may,1
Jeffery Taylor,23/05/89,1989,may,3
Rod Thorn*,23/05/41,1941,may,8
Howie Dallmar,24/05/22,1922,may,3
Joe Dumars*,24/05/63,1963,may,14
Jim Eakins,24/05/46,1946,may,10
Kenton Edelin,24/05/62,1962,may,1
Rolando Ferreira,24/05/64,1964,may,1
Cleo Hill,24/05/38,1938,may,1
Ron Horn,24/05/38,1938,may,3
Mitch Kupchak,24/05/54,1954,may,9
Kalin Lucas,24/05/89,1989,may,2
Lonnie Lynn,24/05/43,1943,may,1
Jarell Martin,24/05/94,1994,may,4
Tracy McGrady*,24/05/79,1979,may,15
Dewitt Menyard,24/05/44,1944,may,1
John Smith,24/05/44,1944,may,2
Kendall Gill,25/05/68,1968,may,15
Alan Hardy,25/05/57,1957,may,2
Marcelo Huertas,25/05/83,1983,may,2
K.C. Jones*,25/05/32,1932,may,9
Mark Jones,25/05/75,1975,may,1
Dino Martin,25/05/20,1920,may,2
Norman Powell,25/05/93,1993,may,5
Bill Sharman*,25/05/26,1926,may,11
Paul Thompson,25/05/61,1961,may,3
Derrick Williams,25/05/91,1991,may,7
Eric Anderson,26/05/70,1970,may,2
Willie Burton,26/05/68,1968,may,8
Tang Hamilton,26/05/78,1978,may,1
Steve Hawes,26/05/50,1950,may,10
Eddie Hughes,26/05/60,1960,may,3
Riney Lochmann,26/05/44,1944,may,3
Sam Mack,26/05/70,1970,may,7
Tom McMillen,26/05/52,1952,may,11
Richie Niemiera,26/05/21,1921,may,2
Mehmet Okur,26/05/79,1979,may,10
Dan Roundfield,26/05/53,1953,may,12
Blake Ahearn,27/05/84,1984,may,3
Corey Beck,27/05/71,1971,may,3
Stuart Gray,27/05/63,1963,may,7
Dave Greenwood,27/05/57,1957,may,12
Julian Hammond,27/05/43,1943,may,5
Willy Hernangómez,27/05/94,1994,may,4
Jalen Jones,27/05/93,1993,may,2
Allen Leavell,27/05/57,1957,may,10
Eric Leckner,27/05/66,1966,may,8
George McCloud,27/05/67,1967,may,12
Chris McCray,27/05/84,1984,may,1
Joe Reaves,27/05/50,1950,may,1
Dick Schnittker,27/05/28,1928,may,6
Doug West,27/05/67,1967,may,12
Travis Williams,27/05/69,1969,may,2
Dedric Willoughby,27/05/74,1974,may,1
Bob Brannum,28/05/26,1926,may,5
Armen Gilliam,28/05/64,1964,may,13
Othello Hunter,28/05/86,1986,may,2
De'Anthony Melton,28/05/98,1998,may,2
Louie Nelson,28/05/51,1951,may,5
Glen Rice,28/05/67,1967,may,15
Jerry West*,28/05/38,1938,may,14
Carmelo Anthony,29/05/84,1984,may,17
Maceo Baston,29/05/75,1975,may,4
Etdrick Bohannon,29/05/73,1973,may,4
Bill Curley,29/05/72,1972,may,5
Danny Finn,29/05/28,1928,may,3
Alton Ford,29/05/81,1981,may,3
Markelle Fultz,29/05/98,1998,may,3
Alonzo Gee,29/05/87,1987,may,8
Tate George,29/05/68,1968,may,4
Richie Guerin*,29/05/32,1932,may,13
Stanley Johnson,29/05/96,1996,may,5
Loyd King,29/05/49,1949,may,2
Raef LaFrentz,29/05/76,1976,may,10
Bill Ligon,29/05/52,1952,may,1
Wayne Radford,29/05/56,1956,may,1
Harrison Barnes,30/05/92,1992,may,8
Billy Donovan,30/05/65,1965,may,1
Penny Early,30/05/43,1943,may,1
Evan Eschmeyer,30/05/75,1975,may,4
Chad Gallagher,30/05/69,1969,may,1
Eddie Griffin,30/05/82,1982,may,5
Jeremy Lamb,30/05/92,1992,may,8
Rasho Nesterović,30/05/76,1976,may,12
John Postley,30/05/40,1940,may,1
Dominic Pressley,30/05/64,1964,may,1
Brian Quinnett,30/05/66,1966,may,3
Billy Ray Bates,31/05/56,1956,may,4
Ron Bonham,31/05/42,1942,may,3
Duane Causwell,31/05/68,1968,may,11
Shane Edwards,31/05/87,1987,may,1
Bob Evans,31/05/25,1925,may,1
Bob Ferry,31/05/37,1937,may,10
Devin Gray,31/05/72,1972,may,2
